Artist,Album,Title,Genre,Comments,music_folder,image_folder,Id
Dua Lipa,Dua Lipa,Lost In Your Light (feat. Miguel),Indie Pop / Pop,Hunter,/songs/02 - Lost In Your Light (feat. Miguel).mp3,/image/cover-19.jpg,19
Coldplay,Greatest Songs,Viva La Vida,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/02 - Viva La Vida.mp3,/image/cover-20.jpg,20
Camila Cabello,Familia,Celia,Pop,None,/songs/02 Celia.mp3,/image/cover-21.jpg,21
The Beatles,Rubber Soul (Remastered),Drive My Car,(17)Rock,None,/songs/02 drive my car.mp3,/image/cover-375.png,22
Snow Patrol,Greatest Hits,Chasing Cars,Alternative,None,/songs/02 Snow Patrol - Chasing Cars.mp3,/image/cover-23.jpg,23
Imagine Dragons,Origins (Deluxe),Boomerang,Alternative,Freak37,/songs/02. Boomerang.mp3,/image/cover-24.jpg,24
Snoop Dogg,BODR,Gun Smoke,None,PMEDIA,/songs/02. Gun Smoke.mp3,/image/cover-25.jpg,25
Camila Cabello,Romance,Living Proof,Pop,Freak37,/songs/02. Living Proof.mp3,/image/cover-26.jpg,26
Oasis,Oasis - Greatest Hits CD1,Shakermaker,None,None,/songs/02. Shakermaker.mp3,/image/cover-376.jpg,27
Ed Sheeran,=,Shivers,None,PMEDIA,/songs/02. Shivers.mp3,/image/cover-28.jpg,28
Harry Styles,Fine Line,Watermelon Sugar,Pop,www.t.me/pmedia_music,/songs/02. Watermelon Sugar.mp3,/image/cover-29.jpg,29
John Mayer,Essentials,Your Body Is a Wonderland,Pop,www.t.me/pmedia_music,/songs/02. Your Body Is a Wonderland.mp3,/image/cover-30.jpg,30
Nirvana,Greatest Hits,About A Girl,Grunge,None,/songs/02.About A Girl.mp3,/image/cover-31.jpg,31
Coldplay,Greatest Songs,A Sky Full of Stars,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/03 - A Sky Full of Stars.mp3,/image/cover-32.jpg,32
Ed Sheeran,÷,Dive,None,Freak37,/songs/03 - Dive.mp3,/image/cover-33.jpg,33
Dua Lipa,Dua Lipa,Hotter Than Hell,Indie Pop / Pop,Hunter,/songs/03 - Hotter Than Hell.mp3,/image/cover-34.jpg,34
One Direction,Take Me Home,Little Things,Pop,None,/songs/03 - Little Things.mp3,/image/cover-35.jpg,35
Frank Sinatra,Platinum Selection,London By Night,"Vocal Jazz, Pop",Freak37,/songs/03 - London By Night.mp3,/image/cover-36.jpg,36
The Beatles,Help! (Remastered),Help!,(17)Rock,None,/songs/03 help!.mp3,/image/cover-375.png,37
Camila Cabello,Familia,psychofreak (feat. WILLOW),Pop,None,/songs/03 psychofreak (feat. WILLOW).mp3,/image/cover-38.jpg,38
Snow Patrol,Greatest Hits,Run,Alternative,None,/songs/03 Snow Patrol - Run.mp3,/image/cover-39.jpg,39
Harry Styles,Fine Line,Adore You,Pop,www.t.me/pmedia_music,/songs/03. Adore You.mp3,/image/cover-40.jpg,40
Snoop Dogg,BODR,Coming Back (feat. October London & Nefertitti Avani),None,PMEDIA,/songs/03. Coming Back (feat. October London & Nefertitti Avani).mp3,/image/cover-41.jpg,41
John Mayer,Essentials,Daughters,Rock,www.t.me/pmedia_music,/songs/03. Daughters.mp3,/image/cover-42.jpg,42
Ed Sheeran,=,First Times,None,PMEDIA,/songs/03. First Times.mp3,/image/cover-43.jpg,43
Imagine Dragons,Origins (Deluxe),Machine,Alternative,Freak37,/songs/03. Machine.mp3,/image/cover-44.jpg,44
Oasis,Oasis - Greatest Hits CD2,Oasis  Rockin' Chair,None,None,/songs/03. Oasis  Rockin' Chair.mp3,/image/cover-376.jpg,45
Camila Cabello,Romance,Should've Said it,Pop,Freak37,/songs/03. Should've Said it.mp3,/image/cover-46.jpg,46
Nirvana,Greatest Hits,Been A Son,Grunge,None,/songs/03.Been A Son.mp3,/image/cover-47.jpg,47
Dua Lipa,Dua Lipa,Be The One,Indie Pop / Pop,Hunter,/songs/04 - Be The One.mp3,/image/cover-48.jpg,48
One Direction,Take Me Home,"C'mon, C'mon",Pop,None,"/songs/04 - C'mon, C'mon.mp3",/image/cover-49.jpg,49
Frank Sinatra,Platinum Selection,I m A Fool To Want You,"Vocal Jazz, Pop",Freak37,/songs/04 - I'm A Fool To Want You.mp3,/image/cover-50.jpg,50
Ed Sheeran,÷,Shape of You,None,Freak37,/songs/04 - Shape of You.mp3,/image/cover-51.jpg,51
Coldplay,Greatest Songs,Violet Hill,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/04 - Violet Hill.mp3,/image/cover-52.jpg,52
Camila Cabello,Familia,Bam Bam (feat. Ed Sheeran),Pop,None,/songs/04 Bam Bam (feat. Ed Sheeran).mp3,/image/cover-53.jpg,53
The Beatles,Please Please Me (Remastered),I Saw Her Standing There,(17)Rock,None,/songs/04 i saw her standing there.mp3,/image/cover-375.png,54
Snow Patrol,Greatest Hits,Set the Fire To the Third Bar (feat. Martha Wainwright),Alternative,None,/songs/04 Snow Patrol - Set the Fire To the Third Bar (feat. Martha Wainwright).mp3,/image/cover-55.jpg,55
Ed Sheeran,=,Bad Habits,None,PMEDIA,/songs/04. Bad Habits.mp3,/image/cover-56.jpg,56
Imagine Dragons,Origins (Deluxe),Cool Out,Alternative,Freak37,/songs/04. Cool Out.mp3,/image/cover-57.jpg,57
Harry Styles,Fine Line,Lights Up,Pop,www.t.me/pmedia_music,/songs/04. Lights Up.mp3,/image/cover-58.jpg,58
John Mayer,Essentials,New Light,Pop,www.t.me/pmedia_music,/songs/04. New Light.mp3,/image/cover-59.jpg,59
Oasis,Oasis - Greatest Hits CD2,Oasis  Go Let It Out!,None,None,/songs/04. Oasis  Go Let It Out!.mp3,/image/cover-376.jpg,60
Snoop Dogg,BODR,Sandwich Bag,None,PMEDIA,/songs/04. Sandwich Bag.mp3,/image/cover-61.jpg,61
Camila Cabello,Romance,Senorita (Feat. Shawn Mendes),Pop,Freak37,/songs/04. Senorita (Feat. Shawn Mendes).mp3,/image/cover-62.jpg,62
Nirvana,Greatest Hits,Sliver,Grunge,None,/songs/04.Sliver.mp3,/image/cover-63.jpg,63
Dua Lipa,Dua Lipa,IDGAF,Indie Pop / Pop,Hunter,/songs/05 - IDGAF.mp3,/image/cover-64.jpg,64
One Direction,Take Me Home,Last First Kiss,Pop,None,/songs/05 - Last First Kiss.mp3,/image/cover-65.jpg,65
Frank Sinatra,Platinum Selection,Lean Baby,"Vocal Jazz, Pop",Freak37,/songs/05 - Lean Baby.mp3,/image/cover-66.jpg,66
Ed Sheeran,÷,Perfect,None,Freak37,/songs/05 - Perfect.mp3,/image/cover-67.jpg,67
Coldplay,Greatest Songs,Princess of China,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/05 - Princess of China.mp3,/image/cover-68.jpg,68
Camila Cabello,Familia,La Buena Vida,Pop,None,/songs/05 La Buena Vida.mp3,/image/cover-69.jpg,69
The Beatles,Magical Mystery Tour (Remastered),Magical Mystery Tour,(17)Rock,None,/songs/05 magical mystery tour.mp3,/image/cover-375.png,70
Snow Patrol,Greatest Hits,Called Out In the Dark,Alternative,None,/songs/05 Snow Patrol - Called Out In the Dark.mp3,/image/cover-71.jpg,71
Imagine Dragons,Origins (Deluxe),Bad Liar,Alternative,Freak37,/songs/05. Bad Liar.mp3,/image/cover-72.jpg,72
Harry Styles,Fine Line,Cherry,Pop,www.t.me/pmedia_music,/songs/05. Cherry.mp3,/image/cover-73.jpg,73
Oasis,Oasis - Greatest Hits CD1,Cigarettes & Alcohol,None,None,/songs/05. Cigarettes & Alcohol.mp3,/image/cover-376.jpg,74
Snoop Dogg,BODR,Conflicted (feat. Nas),None,PMEDIA,/songs/05. Conflicted (feat. Nas).mp3,/image/cover-75.jpg,75
Camila Cabello,Romance,Liar,Pop,Freak37,/songs/05. Liar.mp3,/image/cover-76.jpg,76
John Mayer,Essentials,No Such Thing,Pop,www.t.me/pmedia_music,/songs/05. No Such Thing.mp3,/image/cover-77.jpg,77
Ed Sheeran,=,Overpass Graffiti,None,PMEDIA,/songs/05. Overpass Graffiti.mp3,/image/cover-78.jpg,78
Nirvana,Greatest Hits,Smells Like Teen Spirit,Grunge,None,/songs/05.Smells Like Teen Spirit.mp3,/image/cover-79.jpg,79
Dua Lipa,Dua Lipa,Blow Your Mind (Mwah),Indie Pop / Pop,Hunter,/songs/06 - Blow Your Mind (Mwah).mp3,/image/cover-80.jpg,80
Coldplay,Greatest Songs,Charlie Brown,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/06 - Charlie Brown.mp3,/image/cover-81.jpg,81
Frank Sinatra,Platinum Selection,From Here To Eternity,"Vocal Jazz, Pop",Freak37,/songs/06 - From Here To Eternity.mp3,/image/cover-82.jpg,82
Ed Sheeran,÷,Galway Girl,None,Freak37,/songs/06 - Galway Girl.mp3,/image/cover-83.jpg,83
One Direction,Take Me Home,Heart Attack,Pop,None,/songs/06 - Heart Attack.mp3,/image/cover-84.jpg,84
The Beatles,Beatles For Sale (Remastered),No Reply,(17)Rock,None,/songs/06 no reply.mp3,/image/cover-375.png,85
Camila Cabello,Familia,Quiet,Pop,None,/songs/06 Quiet.mp3,/image/cover-86.jpg,86
Snow Patrol,Greatest Hits,Chocolate,Alternative,None,/songs/06 Snow Patrol - Chocolate.mp3,/image/cover-87.jpg,87
Camila Cabello,Romance,Bad Kind Of Butterflies,Pop,Freak37,/songs/06. Bad Kind Of Butterflies.mp3,/image/cover-88.jpg,88
Snoop Dogg,BODR,Daddy (feat. Emo Trap),None,PMEDIA,/songs/06. Daddy (feat. Emo Trap).mp3,/image/cover-89.jpg,89
Harry Styles,Fine Line,Falling,Pop,www.t.me/pmedia_music,/songs/06. Falling.mp3,/image/cover-90.jpg,90
John Mayer,Essentials,Heartbreak Warfare,Rock,www.t.me/pmedia_music,/songs/06. Heartbreak Warfare.mp3,/image/cover-91.jpg,91
Oasis,Oasis - Greatest Hits CD2,Oasis  Sunday Morning Call,None,None,/songs/06. Oasis  Sunday Morning Call.mp3,/image/cover-376.jpg,92
Ed Sheeran,=,The Joker And The Queen,None,PMEDIA,/songs/06. The Joker And The Queen.mp3,/image/cover-93.jpg,93
Imagine Dragons,Origins (Deluxe),West Coast,Alternative,Freak37,/songs/06. West Coast.mp3,/image/cover-94.jpg,94
Oasis,Oasis - Greatest Hits CD1,Whatever,None,None,/songs/06. Whatever.mp3,/image/cover-376.jpg,95
Nirvana,Greatest Hits,Come As You Are,Grunge,None,/songs/06.Come As You Are.mp3,/image/cover-96.jpg,96
Coldplay,Greatest Songs,Adventure Of A Lifetime,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/07 - Adventure Of A Lifetime.mp3,/image/cover-97.jpg,97
Dua Lipa,Dua Lipa,Garden,Indie Pop / Pop,Hunter,/songs/07 - Garden.mp3,/image/cover-98.jpg,98
Ed Sheeran,÷,Happier,None,Freak37,/songs/07 - Happier.mp3,/image/cover-99.jpg,99
Frank Sinatra,Platinum Selection,I’m Walking Behind You,"Vocal Jazz, Pop",Freak37,/songs/07 - I'm Walking Behind You.mp3,/image/cover-100.jpg,100
One Direction,Take Me Home,Rock Me,Pop,None,/songs/07 - Rock Me.mp3,/image/cover-101.jpg,101
The Beatles,With The Beatles (Remastered),All My Loving,(17)Rock,None,/songs/07 all my loving.mp3,/image/cover-375.png,102
Camila Cabello,Familia,Boys Don't Cry,Pop,None,/songs/07 Boys Don't Cry.mp3,/image/cover-103.jpg,103
Snow Patrol,Greatest Hits,Just Say Yes,Alternative,None,/songs/07 Snow Patrol - Just Say Yes.mp3,/image/cover-104.jpg,104
Snoop Dogg,BODR,Doggystylin,None,PMEDIA,/songs/07. Doggystylin.mp3,/image/cover-105.jpg,105
Camila Cabello,Romance,Easy,Pop,Freak37,/songs/07. Easy.mp3,/image/cover-106.jpg,106
John Mayer,Essentials,Gravity,Pop,www.t.me/pmedia_music,/songs/07. Gravity.mp3,/image/cover-107.jpg,107
Ed Sheeran,=,Leave Your Life,None,PMEDIA,/songs/07. Leave Your Life.mp3,/image/cover-108.jpg,108
Oasis,Oasis - Greatest Hits CD2,Oasis  The Hindu Times,None,None,/songs/07. Oasis  The Hindu Times.mp3,/image/cover-376.jpg,109
Oasis,Oasis - Greatest Hits CD1,Roll With It,None,None,/songs/07. Roll With It.mp3,/image/cover-376.jpg,110
Harry Styles,Fine Line,To Be So Lonely,Pop,www.t.me/pmedia_music,/songs/07. To Be So Lonely.mp3,/image/cover-111.jpg,111
Imagine Dragons,Origins (Deluxe),Zero,Alternative,Freak37,/songs/07. Zero.mp3,/image/cover-112.jpg,112
Nirvana,Greatest Hits,Lithium,Grunge,None,/songs/07.Lithium.mp3,/image/cover-113.jpg,113
One Direction,Take Me Home,Change My Mind,Pop,None,/songs/08 - Change My Mind.mp3,/image/cover-114.jpg,114
Coldplay,Greatest Songs,In My Place,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/08 - In My Place.mp3,/image/cover-115.jpg,115
Ed Sheeran,÷,New Man,None,Freak37,/songs/08 - New Man.mp3,/image/cover-116.jpg,116
Dua Lipa,Dua Lipa,No Goodbyes,Indie Pop / Pop,Hunter,/songs/08 - No Goodbyes.mp3,/image/cover-117.jpg,117
Frank Sinatra,Platinum Selection,South Of The Border,"Vocal Jazz, Pop",Freak37,/songs/08 - South Of The Border.mp3,/image/cover-118.jpg,118
Camila Cabello,Familia,Hasta Los Dientes (feat. Maria Becerra),Pop,None,/songs/08 Hasta Los Dientes (feat. Maria Be.mp3,/image/cover-119.jpg,119
The Beatles,Beatles For Sale (Remastered),Rock and Roll Music,(17)Rock,None,/songs/08 rock and roll music.mp3,/image/cover-375.png,120
Snow Patrol,Greatest Hits,Open Your Eyes,Alternative,None,/songs/08 Snow Patrol - Open Your Eyes.mp3,/image/cover-121.jpg,121
Imagine Dragons,Origins (Deluxe),Bullet In A Gun,Alternative,Freak37,/songs/08. Bullet In A Gun.mp3,/image/cover-122.jpg,122
Ed Sheeran,=,Collide,None,PMEDIA,/songs/08. Collide.mp3,/image/cover-123.jpg,123
Snoop Dogg,BODR,Crip Ya Enthusiasm,None,PMEDIA,/songs/08. Crip Ya Enthusiasm.mp3,/image/cover-124.jpg,124
Camila Cabello,Romance,Feel It Twice,Pop,Freak37,/songs/08. Feel It Twice.mp3,/image/cover-125.jpg,125
John Mayer,Essentials,Love on the Weekend,"Pop, Rock",www.t.me/pmedia_music,/songs/08. Love on the Weekend.mp3,/image/cover-126.jpg,126
Harry Styles,Fine Line,She,Pop,www.t.me/pmedia_music,/songs/08. She.mp3,/image/cover-127.jpg,127
Nirvana,Greatest Hits,In Bloom,Grunge,None,/songs/08.In Bloom.mp3,/image/cover-128.jpg,128
Ed Sheeran,÷,Hearts Don't Break Around Here,None,Freak37,/songs/09 - Hearts Don't Break Around Here.mp3,/image/cover-129.jpg,129
One Direction,Take Me Home,I Would,Pop,None,/songs/09 - I Would.mp3,/image/cover-130.jpg,130
Coldplay,Greatest Songs,The Scientist,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/09 - The Scientist.mp3,/image/cover-131.jpg,131
Dua Lipa,Dua Lipa,Thinking 'Bout You,Indie Pop / Pop,Hunter,/songs/09 - Thinking 'Bout You.mp3,/image/cover-132.jpg,132
Frank Sinatra,Platinum Selection,Young At Heart,"Vocal Jazz, Pop",Freak37,/songs/09 - Young At Heart.mp3,/image/cover-133.jpg,133
The Beatles,A Hard Day's Night (Remastered),And I Love Her,(17)Rock,None,/songs/09 and i love her.mp3,/image/cover-375.png,134
Camila Cabello,Familia,No Doubt,Pop,None,/songs/09 No Doubt.mp3,/image/cover-135.jpg,135
Snow Patrol,Greatest Hits,Shut Your Eyes,Alternative,None,/songs/09 Snow Patrol - Shut Your Eyes.mp3,/image/cover-136.jpg,136
Ed Sheeran,=,2step,None,PMEDIA,/songs/09. 2step.mp3,/image/cover-137.jpg,137
Imagine Dragons,Origins (Deluxe),Digital,Alternative,Freak37,/songs/09. Digital.mp3,/image/cover-138.jpg,138
Camila Cabello,Romance,Dream Of You,Pop,Freak37,/songs/09. Dream Of You.mp3,/image/cover-139.jpg,139
Snoop Dogg,BODR,Gotta Keep Pushing (feat. T.I. & Sleepy Brown),None,PMEDIA,/songs/09. Gotta Keep Pushing (feat. T.I. & Sleepy Brown).mp3,/image/cover-140.jpg,140
Oasis,Oasis - Greatest Hits CD2,Oasis  Songbird,None,None,/songs/09. Oasis  Songbird.mp3,/image/cover-376.jpg,141
John Mayer,Essentials,Say,Pop,www.t.me/pmedia_music,/songs/09. Say.mp3,/image/cover-142.jpg,142
Harry Styles,Fine Line,"Sunflower, Vol. 6",Pop,www.t.me/pmedia_music,"/songs/09. Sunflower, Vol. 6.mp3",/image/cover-143.jpg,143
Nirvana,Greatest Hits,Heart Shaped Box,Grunge,None,/songs/09.Heart Shaped Box.mp3,/image/cover-144.jpg,144
The Chainsmokers;Emily Warren,100% Chainsmokers,Side Effects,Pop,None,/songs/1 - The Chainsmokers - Side Effects.mp3,/image/cover-145.jpg,145
Taylor Swift,Essentials,Delicate,Pop,Freak37,/songs/1 Delicate.mp3,/image/cover-146.jpg,146
Calum Scott,Only Human (Deluxe),If Our Love Is Wrong,-13,https://musicriders.blogspot.com,/songs/1. If Our Love Is Wrong.mp3,/image/cover-147.jpg,147
Katy Perry,Smile (Deluxe),Never really over,Pop,Freak37,/songs/1. Never Really Over.mp3,/image/cover-148.jpg,148
Frank Sinatra,Platinum Selection,Learning The Blues,"Vocal Jazz, Pop",Freak37,/songs/10 - Learnin' The Blues.mp3,/image/cover-149.jpg,149
Dua Lipa,Dua Lipa,New Rules,Indie Pop / Pop,Hunter,/songs/10 - New Rules.mp3,/image/cover-150.jpg,150
One Direction,Take Me Home,Over Again,Pop,None,/songs/10 - Over Again.mp3,/image/cover-151.jpg,151
Coldplay,Greatest Songs,Something Just Like This,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/10 - Something Just Like This.mp3,/image/cover-152.jpg,152
The Chainsmokers,100% Chainsmokers,Everybody Hates Me,Pop,None,/songs/10 - The Chainsmokers - Everybody Hates Me.mp3,/image/cover-153.jpg,153
Ed Sheeran,÷,What Do I Know?,None,Freak37,/songs/10 - What Do I Know.mp3,/image/cover-154.jpg,154
The Beatles,Yellow Submarine (Remastered),All You Need Is Love,(17)Rock,None,/songs/10 all you need is love.mp3,/image/cover-375.png,155
Taylor Swift,Essentials,Bad Blood,Pop,Freak37,/songs/10 Bad Blood.mp3,/image/cover-156.jpg,156
Camila Cabello,Familia,Don't Go Yet,Pop,None,/songs/10 Don't Go Yet.mp3,/image/cover-157.jpg,157
Snow Patrol,Greatest Hits,Crack the Shutters,Alternative,None,/songs/10 Snow Patrol - Crack the Shutters.mp3,/image/cover-158.jpg,158
Harry Styles,Fine Line,Canyon Moon,Pop,www.t.me/pmedia_music,/songs/10. Canyon Moon.mp3,/image/cover-159.jpg,159
Camila Cabello,Romance,Cry For Me,Pop,Freak37,/songs/10. Cry For Me.mp3,/image/cover-160.jpg,160
Katy Perry,Smile (Deluxe),Harleys in Hawaii,Pop,Freak37,/songs/10. Harleys In Hawaii.mp3,/image/cover-161.jpg,161
Snoop Dogg,BODR,House I Built,None,PMEDIA,/songs/10. House I Built.mp3,/image/cover-162.jpg,162
Imagine Dragons,Origins (Deluxe),Only,Alternative,Freak37,/songs/10. Only.mp3,/image/cover-163.jpg,163
Oasis,Oasis - Greatest Hits CD1,Some Might Say,None,None,/songs/10. Some Might Say.mp3,/image/cover-376.jpg,164
John Mayer,Essentials,Still Feel Like Your Man,Rock,www.t.me/pmedia_music,/songs/10. Still Feel Like Your Man.mp3,/image/cover-165.jpg,165
Ed Sheeran,=,Stop The Rain,None,PMEDIA,/songs/10. Stop The Rain.mp3,/image/cover-166.jpg,166
Calum Scott,Only Human (Deluxe),What I Miss Most,-13,https://musicriders.blogspot.com,/songs/10. What I Miss Most.mp3,/image/cover-167.jpg,167
Nirvana,Greatest Hits,Pennyroyal Tea,Grunge,None,/songs/10.Pennyroyal Tea.mp3,/image/cover-168.jpg,168
One Direction,Take Me Home,Back For You,Pop,None,/songs/11 - Back For You.mp3,/image/cover-169.jpg,169
Dua Lipa,Dua Lipa,Begging,Indie Pop / Pop,Hunter,/songs/11 - Begging.mp3,/image/cover-170.jpg,170
Ed Sheeran,÷,How Would You Feel (Paean),None,Freak37,/songs/11 - How Would You Feel (Paean).mp3,/image/cover-171.jpg,171
Frank Sinatra,Platinum Selection,I’ve Got You Under My Skin,"Vocal Jazz, Pop",Freak37,/songs/11 - I've Got You Under My Skin.mp3,/image/cover-172.jpg,172
Coldplay,Greatest Songs,Magic,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/11 - Magic.mp3,/image/cover-173.jpg,173
The Chainsmokers;ROZES,100% Chainsmokers,Roses,Pop,None,/songs/11 - The Chainsmokers - Roses.mp3,/image/cover-174.jpg,174
The Beatles,Magical Mystery Tour (Remastered),I Am The Walrus,(17)Rock,None,/songs/11 i am the walrus.mp3,/image/cover-375.png,175
Camila Cabello,Familia,Lola (feat. Yotuel),Pop,None,/songs/11 Lola (feat. Yotuel).mp3,/image/cover-176.jpg,176
Snow Patrol,Greatest Hits,You Could Be Happy,Alternative,None,/songs/11 Snow Patrol - You Could Be Happy.mp3,/image/cover-177.jpg,177
Taylor Swift,Essentials,Wildest Dreams,Pop,Freak37,/songs/11 Wildest Dreams.mp3,/image/cover-178.jpg,178
Calum Scott,Only Human (Deluxe),Hotel Room,-13,https://musicriders.blogspot.com,/songs/11. Hotel Room.mp3,/image/cover-179.jpg,179
Ed Sheeran,=,Love In Slow Motion,None,PMEDIA,/songs/11. Love In Slow Motion.mp3,/image/cover-180.jpg,180
Oasis,Oasis - Greatest Hits CD2,Oasis  Lyla,None,None,/songs/11. Oasis  Lyla.mp3,/image/cover-376.jpg,181
Katy Perry,Smile (Deluxe),Only love,Pop,Freak37,/songs/11. Only Love.mp3,/image/cover-182.jpg,182
Snoop Dogg,BODR,Outside The Box (feat. Nate Dogg),None,PMEDIA,/songs/11. Outside The Box (feat. Nate Dogg).mp3,/image/cover-183.jpg,183
Imagine Dragons,Origins (Deluxe),Stuck,Alternative,Freak37,/songs/11. Stuck.mp3,/image/cover-184.jpg,184
Camila Cabello,Romance,This Love,Pop,Freak37,/songs/11. This Love.mp3,/image/cover-185.jpg,185
Harry Styles,Fine Line,Treat People With Kindness,Pop,www.t.me/pmedia_music,/songs/11. Treat People With Kindness.mp3,/image/cover-186.jpg,186
John Mayer,Essentials,Why Georgia,Pop,www.t.me/pmedia_music,/songs/11. Why Georgia.mp3,/image/cover-187.jpg,187
Nirvana,Greatest Hits,Rape Me,Grunge,None,/songs/11.Rape Me.mp3,/image/cover-188.jpg,188
Frank Sinatra,Platinum Selection,Both Sides Now,"Vocal Jazz, Pop",Freak37,/songs/12 - Both Sides Now.mp3,/image/cover-189.jpg,189
Dua Lipa,Dua Lipa,Homesick,Indie Pop / Pop,Hunter,/songs/12 - Homesick.mp3,/image/cover-190.jpg,190
Coldplay,Greatest Songs,Paradise,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/12 - Paradise.mp3,/image/cover-191.jpg,191
Ed Sheeran,÷,Supermarket Flowers,None,Freak37,/songs/12 - Supermarket Flowers.mp3,/image/cover-192.jpg,192
The Chainsmokers;Phoebe Ryan,100% Chainsmokers,All We Know,Pop,None,/songs/12 - The Chainsmokers - All We Know.mp3,/image/cover-193.jpg,193
One Direction,Take Me Home,They Don't Know About Us,Pop,None,/songs/12 - They Don't Know About Us.mp3,/image/cover-194.jpg,194
Camila Cabello,Familia,everyone at this party,Pop,None,/songs/12 everyone at this party.mp3,/image/cover-195.jpg,195
Snow Patrol,Greatest Hits,Spitting Games,Alternative,None,/songs/12 Snow Patrol - Spitting Games.mp3,/image/cover-196.jpg,196
Taylor Swift,Essentials,We Are Never Ever Getting Back Together,Pop,Freak37,/songs/12 We Are Never Ever Getting Back Together.mp3,/image/cover-197.jpg,197
The Beatles,Revolver (Remastered),Yellow Submarine,(17)Rock,None,/songs/12 yellow subarine.mp3,/image/cover-375.png,198
Oasis,Oasis - Greatest Hits CD1,Champagne Supernova,None,None,/songs/12. Champagne Supernova.mp3,/image/cover-376.jpg,199
Harry Styles,Fine Line,Fine Line,Pop,www.t.me/pmedia_music,/songs/12. Fine Line.mp3,/image/cover-200.jpg,200
Calum Scott,Only Human (Deluxe),Good To You,-13,https://musicriders.blogspot.com,/songs/12. Good To You.mp3,/image/cover-201.jpg,201
Snoop Dogg,BODR,Jerseys In The Rafters (feat. The Game),None,PMEDIA,/songs/12. Jerseys In The Rafters (feat. The Game).mp3,/image/cover-202.jpg,202
Imagine Dragons,Origins (Deluxe),Love,Alternative,Freak37,/songs/12. Love.mp3,/image/cover-203.jpg,203
Oasis,Oasis - Greatest Hits CD2,Oasis  The Importance Of Being Idle,None,None,/songs/12. Oasis  The Importance Of Being Idle.mp3,/image/cover-376.jpg,204
