Artist,Album,Title,Genre,Comments,music_folder,image_folder
Nirvana,Greatest Hits,Lithium,Grunge,,/songs/07.Lithium.mp3,/image/cover-113.jpg
One Direction,Take Me Home,Change My Mind,Pop,,/songs/08 - Change My Mind.mp3,/image/cover-114.jpg
Coldplay,Greatest Songs,In My Place,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/08 - In My Place.mp3,/image/cover-115.jpg
Ed Sheeran,÷,New Man,,Freak37,/songs/08 - New Man.mp3,/image/cover-116.jpg
Dua Lipa,Dua Lipa,No Goodbyes,Indie Pop / Pop,Hunter,/songs/08 - No Goodbyes.mp3,/image/cover-117.jpg
Frank Sinatra,Platinum Selection,South Of The Border,"Vocal Jazz, Pop",Freak37,/songs/08 - South Of The Border.mp3,/image/cover-118.jpg
Camila Cabello,Familia,Hasta Los Dientes (feat. Maria Becerra),Pop,,/songs/08 Hasta Los Dientes (feat. Maria Be.mp3,/image/cover-119.jpg
The Beatles,Beatles For Sale (Remastered),Rock and Roll Music,(17)Rock,,/songs/08 rock and roll music.mp3,
Snow Patrol,Greatest Hits,Open Your Eyes,Alternative,,/songs/08 Snow Patrol - Open Your Eyes.mp3,/image/cover-121.jpg
Imagine Dragons,Origins (Deluxe),Bullet In A Gun,Alternative,Freak37,/songs/08. Bullet In A Gun.mp3,/image/cover-122.jpg
Ed Sheeran,=,Collide,,PMEDIA,/songs/08. Collide.mp3,/image/cover-123.jpg
Snoop Dogg,BODR,Crip Ya Enthusiasm,,PMEDIA,/songs/08. Crip Ya Enthusiasm.mp3,/image/cover-124.jpg
Camila Cabello,Romance,Feel It Twice,Pop,Freak37,/songs/08. Feel It Twice.mp3,/image/cover-125.jpg
John Mayer,Essentials,Love on the Weekend,"Pop, Rock",www.t.me/pmedia_music,/songs/08. Love on the Weekend.mp3,/image/cover-126.jpg
Harry Styles,Fine Line,She,Pop,www.t.me/pmedia_music,/songs/08. She.mp3,/image/cover-127.jpg
Nirvana,Greatest Hits,In Bloom,Grunge,,/songs/08.In Bloom.mp3,/image/cover-128.jpg
Ed Sheeran,÷,Hearts Don't Break Around Here,,Freak37,/songs/09 - Hearts Don't Break Around Here.mp3,/image/cover-129.jpg
One Direction,Take Me Home,I Would,Pop,,/songs/09 - I Would.mp3,/image/cover-130.jpg
Coldplay,Greatest Songs,The Scientist,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/09 - The Scientist.mp3,/image/cover-131.jpg
Dua Lipa,Dua Lipa,Thinking 'Bout You,Indie Pop / Pop,Hunter,/songs/09 - Thinking 'Bout You.mp3,/image/cover-132.jpg
Frank Sinatra,Platinum Selection,Young At Heart,"Vocal Jazz, Pop",Freak37,/songs/09 - Young At Heart.mp3,/image/cover-133.jpg
The Beatles,A Hard Day's Night (Remastered),And I Love Her,(17)Rock,,/songs/09 and i love her.mp3,
Camila Cabello,Familia,No Doubt,Pop,,/songs/09 No Doubt.mp3,/image/cover-135.jpg
Snow Patrol,Greatest Hits,Shut Your Eyes,Alternative,,/songs/09 Snow Patrol - Shut Your Eyes.mp3,/image/cover-136.jpg
Ed Sheeran,=,2step,,PMEDIA,/songs/09. 2step.mp3,/image/cover-137.jpg
Imagine Dragons,Origins (Deluxe),Digital,Alternative,Freak37,/songs/09. Digital.mp3,/image/cover-138.jpg
Camila Cabello,Romance,Dream Of You,Pop,Freak37,/songs/09. Dream Of You.mp3,/image/cover-139.jpg
Snoop Dogg,BODR,Gotta Keep Pushing (feat. T.I. & Sleepy Brown),,PMEDIA,/songs/09. Gotta Keep Pushing (feat. T.I. & Sleepy Brown).mp3,/image/cover-140.jpg
,Oasis - Greatest Hits CD2,Oasis  Songbird,,,/songs/09. Oasis  Songbird.mp3,
John Mayer,Essentials,Say,Pop,www.t.me/pmedia_music,/songs/09. Say.mp3,/image/cover-142.jpg
Harry Styles,Fine Line,"Sunflower, Vol. 6",Pop,www.t.me/pmedia_music,"/songs/09. Sunflower, Vol. 6.mp3",/image/cover-143.jpg
Nirvana,Greatest Hits,Heart Shaped Box,Grunge,,/songs/09.Heart Shaped Box.mp3,/image/cover-144.jpg
The Chainsmokers;Emily Warren,100% Chainsmokers,Side Effects,Pop,,/songs/1 - The Chainsmokers - Side Effects.mp3,/image/cover-145.jpg
Taylor Swift,Essentials,Delicate,Pop,Freak37,/songs/1 Delicate.mp3,/image/cover-146.jpg
Calum Scott,Only Human (Deluxe),If Our Love Is Wrong,(13),https://musicriders.blogspot.com,/songs/1. If Our Love Is Wrong.mp3,/image/cover-147.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/1. Never Really Over.mp3,/image/cover-148.jpg
Frank Sinatra,Platinum Selection,Learnin’ The Blues,"Vocal Jazz, Pop",Freak37,/songs/10 - Learnin' The Blues.mp3,/image/cover-149.jpg
Dua Lipa,Dua Lipa,New Rules,Indie Pop / Pop,Hunter,/songs/10 - New Rules.mp3,/image/cover-150.jpg
One Direction,Take Me Home,Over Again,Pop,,/songs/10 - Over Again.mp3,/image/cover-151.jpg
Coldplay,Greatest Songs,Something Just Like This,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/10 - Something Just Like This.mp3,/image/cover-152.jpg
The Chainsmokers,100% Chainsmokers,Everybody Hates Me,Pop,,/songs/10 - The Chainsmokers - Everybody Hates Me.mp3,/image/cover-153.jpg
Ed Sheeran,÷,What Do I Know?,,Freak37,/songs/10 - What Do I Know.mp3,/image/cover-154.jpg
The Beatles,Yellow Submarine (Remastered),All You Need Is Love,(17)Rock,,/songs/10 all you need is love.mp3,
Taylor Swift,Essentials,Bad Blood,Pop,Freak37,/songs/10 Bad Blood.mp3,/image/cover-156.jpg
Camila Cabello,Familia,Don't Go Yet,Pop,,/songs/10 Don't Go Yet.mp3,/image/cover-157.jpg
Snow Patrol,Greatest Hits,Crack the Shutters,Alternative,,/songs/10 Snow Patrol - Crack the Shutters.mp3,/image/cover-158.jpg
Harry Styles,Fine Line,Canyon Moon,Pop,www.t.me/pmedia_music,/songs/10. Canyon Moon.mp3,/image/cover-159.jpg
Camila Cabello,Romance,Cry For Me,Pop,Freak37,/songs/10. Cry For Me.mp3,/image/cover-160.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/10. Harleys In Hawaii.mp3,/image/cover-161.jpg
Snoop Dogg,BODR,House I Built,,PMEDIA,/songs/10. House I Built.mp3,/image/cover-162.jpg
Imagine Dragons,Origins (Deluxe),Only,Alternative,Freak37,/songs/10. Only.mp3,/image/cover-163.jpg
Oasis,Oasis - Greatest Hits CD1,Some Might Say,,,/songs/10. Some Might Say.mp3,
John Mayer,Essentials,Still Feel Like Your Man,Rock,www.t.me/pmedia_music,/songs/10. Still Feel Like Your Man.mp3,/image/cover-165.jpg
Ed Sheeran,=,Stop The Rain,,PMEDIA,/songs/10. Stop The Rain.mp3,/image/cover-166.jpg
Calum Scott,Only Human (Deluxe),What I Miss Most,(13),https://musicriders.blogspot.com,/songs/10. What I Miss Most.mp3,/image/cover-167.jpg
Nirvana,Greatest Hits,Pennyroyal Tea,Grunge,,/songs/10.Pennyroyal Tea.mp3,/image/cover-168.jpg
One Direction,Take Me Home,Back For You,Pop,,/songs/11 - Back For You.mp3,/image/cover-169.jpg
Dua Lipa,Dua Lipa,Begging,Indie Pop / Pop,Hunter,/songs/11 - Begging.mp3,/image/cover-170.jpg
Ed Sheeran,÷,How Would You Feel (Paean),,Freak37,/songs/11 - How Would You Feel (Paean).mp3,/image/cover-171.jpg
Frank Sinatra,Platinum Selection,I’ve Got You Under My Skin,"Vocal Jazz, Pop",Freak37,/songs/11 - I've Got You Under My Skin.mp3,/image/cover-172.jpg
Coldplay,Greatest Songs,Magic,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/11 - Magic.mp3,/image/cover-173.jpg
The Chainsmokers;ROZES,100% Chainsmokers,Roses,Pop,,/songs/11 - The Chainsmokers - Roses.mp3,/image/cover-174.jpg
The Beatles,Magical Mystery Tour (Remastered),I Am The Walrus,(17)Rock,,/songs/11 i am the walrus.mp3,
Camila Cabello,Familia,Lola (feat. Yotuel),Pop,,/songs/11 Lola (feat. Yotuel).mp3,/image/cover-176.jpg
Snow Patrol,Greatest Hits,You Could Be Happy,Alternative,,/songs/11 Snow Patrol - You Could Be Happy.mp3,/image/cover-177.jpg
Taylor Swift,Essentials,Wildest Dreams,Pop,Freak37,/songs/11 Wildest Dreams.mp3,/image/cover-178.jpg
Calum Scott,Only Human (Deluxe),Hotel Room,(13),https://musicriders.blogspot.com,/songs/11. Hotel Room.mp3,/image/cover-179.jpg
Ed Sheeran,=,Love In Slow Motion,,PMEDIA,/songs/11. Love In Slow Motion.mp3,/image/cover-180.jpg
,Oasis - Greatest Hits CD2,Oasis  Lyla,,,/songs/11. Oasis  Lyla.mp3,
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/11. Only Love.mp3,/image/cover-182.jpg
Snoop Dogg,BODR,Outside The Box (feat. Nate Dogg),,PMEDIA,/songs/11. Outside The Box (feat. Nate Dogg).mp3,/image/cover-183.jpg
Imagine Dragons,Origins (Deluxe),Stuck,Alternative,Freak37,/songs/11. Stuck.mp3,/image/cover-184.jpg
Camila Cabello,Romance,This Love,Pop,Freak37,/songs/11. This Love.mp3,/image/cover-185.jpg
Harry Styles,Fine Line,Treat People With Kindness,Pop,www.t.me/pmedia_music,/songs/11. Treat People With Kindness.mp3,/image/cover-186.jpg
John Mayer,Essentials,Why Georgia,Pop,www.t.me/pmedia_music,/songs/11. Why Georgia.mp3,/image/cover-187.jpg
Nirvana,Greatest Hits,Rape Me,Grunge,,/songs/11.Rape Me.mp3,/image/cover-188.jpg
Frank Sinatra,Platinum Selection,Both Sides Now,"Vocal Jazz, Pop",Freak37,/songs/12 - Both Sides Now.mp3,/image/cover-189.jpg
Dua Lipa,Dua Lipa,Homesick,Indie Pop / Pop,Hunter,/songs/12 - Homesick.mp3,/image/cover-190.jpg
Coldplay,Greatest Songs,Paradise,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/12 - Paradise.mp3,/image/cover-191.jpg
Ed Sheeran,÷,Supermarket Flowers,,Freak37,/songs/12 - Supermarket Flowers.mp3,/image/cover-192.jpg
The Chainsmokers;Phoebe Ryan,100% Chainsmokers,All We Know,Pop,,/songs/12 - The Chainsmokers - All We Know.mp3,/image/cover-193.jpg
One Direction,Take Me Home,They Don't Know About Us,Pop,,/songs/12 - They Don't Know About Us.mp3,/image/cover-194.jpg
Camila Cabello,Familia,everyone at this party,Pop,,/songs/12 everyone at this party.mp3,/image/cover-195.jpg
Snow Patrol,Greatest Hits,Spitting Games,Alternative,,/songs/12 Snow Patrol - Spitting Games.mp3,/image/cover-196.jpg
Taylor Swift,Essentials,We Are Never Ever Getting Back Together,Pop,Freak37,/songs/12 We Are Never Ever Getting Back Together.mp3,/image/cover-197.jpg
The Beatles,Revolver (Remastered),Yellow Submarine,(17)Rock,,/songs/12 yellow subarine.mp3,
Oasis,Oasis - Greatest Hits CD1,Champagne Supernova,,,/songs/12. Champagne Supernova.mp3,
Harry Styles,Fine Line,Fine Line,Pop,www.t.me/pmedia_music,/songs/12. Fine Line.mp3,/image/cover-200.jpg
Calum Scott,Only Human (Deluxe),Good To You,(13),https://musicriders.blogspot.com,/songs/12. Good To You.mp3,/image/cover-201.jpg
Snoop Dogg,BODR,Jerseys In The Rafters (feat. The Game),,PMEDIA,/songs/12. Jerseys In The Rafters (feat. The Game).mp3,/image/cover-202.jpg
Imagine Dragons,Origins (Deluxe),Love,Alternative,Freak37,/songs/12. Love.mp3,/image/cover-203.jpg
,Oasis - Greatest Hits CD2,Oasis  The Importance Of Being Idle,,,/songs/12. Oasis  The Importance Of Being Idle.mp3,
John Mayer,Essentials,Slow Dancing in a Burning Room,Pop,www.t.me/pmedia_music,/songs/12. Slow Dancing in a Burning Room.mp3,/image/cover-205.jpg
Camila Cabello,Romance,Used To This,Pop,Freak37,/songs/12. Used To This.mp3,/image/cover-206.jpg
Ed Sheeran,=,Visiting Hours,,PMEDIA,/songs/12. Visiting Hours.mp3,/image/cover-207.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/12. What Makes A Woman (Extended Version) (2).mp3,/image/cover-208.jpg
Nirvana,Greatest Hits,Dumb,Grunge,,/songs/12.Dumb.mp3,/image/cover-209.jpg
Ed Sheeran,÷,Barcelona,,Freak37,/songs/13 - Barcelona.mp3,/image/cover-210.jpg
Coldplay,Greatest Songs,Don't Panic,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/13 - Don't Panic.mp3,/image/cover-211.jpg
Dua Lipa,Dua Lipa,Dreams,Indie Pop / Pop,Hunter,/songs/13 - Dreams.mp3,/image/cover-212.jpg
Frank Sinatra,Platinum Selection,I Get A Kick Out Of You,"Vocal Jazz, Pop",Freak37,/songs/13 - I Get A Kick Out Of You.mp3,/image/cover-213.jpg
One Direction,Take Me Home,Summer Love,Pop,,/songs/13 - Summer Love.mp3,/image/cover-214.jpg
The Chainsmokers,100% Chainsmokers,You Owe Me,Pop,,/songs/13 - The Chainsmokers - You Owe Me.mp3,/image/cover-215.jpg
Taylor Swift,Essentials,Mean,Pop,Freak37,/songs/13 Mean.mp3,/image/cover-216.jpg
Snow Patrol,Greatest Hits,Take Back the City,Alternative,,/songs/13 Snow Patrol - Take Back the City.mp3,/image/cover-217.jpg
The Beatles,Help! (Remastered),You're Going To Lose That Girl,(17)Rock,,/songs/13 your going to lose that girl.mp3,
