Artist,Album,Title,Genre,Comments,music_folder,image_folder,lyrics,
Ed Sheeran,÷,Happier,,Freak37,/songs/07 - Happier.mp3,/image/cover-99.jpg,"Happier Lyrics
Walking down 29th and park
I saw you in another's arm
Only a month we've been apart
You look happier
Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're moving on with someone new
'Cause baby you look happier, you do
My friends told me one day I'll feel it too
And until then I'll smile to hide the truth
But I know I was happier with you

Sat in the corner of the room
Everything's reminding me of you
Nursing an empty bottle and telling myself
You're happier, aren't you?

Oh, ain't nobody hurt you like I hurt you
But ain't nobody need you like I do
I know that there's others that deserve you
But my darling, I am still in love with you

But I guess you look happier, you do
My friends told me one day I’ll feel it too
I could try to smile to hide the truth
But I know I was happier with you

‘Cause baby you look happier, you do
I knew one day you’d fall for someone new
But if he breaks your heart like lovers do
Just know that I’ll be waiting here for you111Embed",
Frank Sinatra,Platinum Selection,I’m Walking Behind You,"Vocal Jazz, Pop",Freak37,/songs/07 - I'm Walking Behind You.mp3,/image/cover-100.jpg,"I’m Walking Behind You LyricsI'm walking behind you on your wedding day
And I'll hear you promise to love and obey
Though you may forget me, you're still on my mind
Look over your shoulder, I'm walking behind
Maybe I'll kiss again with a love that's new again
But I shall wish again I was kissing you
'Cause I'll always love you wherever you go
And though we are parted, I want you to know
That if things go wrong, dear, and fate is unkind
Look over your shoulder, I'm walking behind
So if things go wrong, dear, and fate is unkind
Look over your shoulder, I'm walking behindEmbed",
One Direction,Take Me Home,Rock Me,Pop,,/songs/07 - Rock Me.mp3,/image/cover-101.jpg,"Rock Me Lyrics

Do you remember summer '09?
Wanna go back there every night
Just can't lie, was the best time of my life
Lying on the beach as the sun blew out
Playing this guitar by the fire too loud
Oh my, my, they could never shut us down

I used to think that I was better alone
Why did I ever wanna let you go?
Under the moonlight as we stared at the sea
The words you whispered, I will always believe
I want you to rock me, rock me, rock me, yeah
I want you to rock me, rock me, rock me, yeah
I want you to hit the pedal, heavy metal, show me you care
I want you to rock me, rock me, rock me, yeah

We were together, summer '09
Wanna roll back like pressing rewind
You were mine and we never said goodbye

I used to think that I was better alone (Better alone)
Why did I ever wanna let you go? (Let you go)
Under the moonlight as we stared at the sea (Stared at the sea)
The words you whispered I will always believe

I want you to rock me, rock me, rock me, yeah
I want you to rock me, rock me, rock me, yeah
I want you to hit the pedal, heavy metal, show me you care
I want you to rock me, rock me, rock me, yeah

R-O-C-K me again, R-O-C-K me again
R-O-C-K me again, yeah
I want you to R-O-C-K me again, R-O-C-K me again
R-O-C-K me again, yeah
I want you to rock me, rock me, rock me, yeah
I want you to rock me, rock me, rock me, yeah
I want you to hit the pedal, heavy metal, show me you care
I want you to rock me, rock me, rock me, yeah (Rock me, yeah)

I want you to rock me, rock me, rock me, yeah (Rock me, yeah)
I want you to rock me, rock me, rock me, yeah
I want you to hit the pedal, heavy metal, show me you care (Show me you care)
I want you to rock me, rock me, rock me, yeah32Embed",
The Beatles,With The Beatles (Remastered),All My Loving,(17)Rock,,/songs/07 all my loving.mp3,,"All My Loving Lyrics
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you
All my loving I will send to you
All my loving, darling, I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you

All my loving I will send to you
All my loving, darling, I'll be true
All my loving, all my loving, ooh
All my loving I will send to you12Embed",
Camila Cabello,Familia,Boys Don't Cry,Pop,,/songs/07 Boys Don't Cry.mp3,/image/cover-103.jpg,"Boys Don’t Cry Lyrics
I know thoughts you don't want in your head
Are spinnin' round-round-round
I know you got demons from the past
Slowin' you down-down-down
But you don't answer your FaceTime
You never had much of a poker face
It doesn't make you less of a man
You're just human right now

When I'm afraid of the world, when every part of me hurts
You don't know how many times you've saved me
So why you hidin' from me? It's only makin' it worse
I just wanna be close, my baby
Give me your pain, I'll take the weight off your shoulders
Don't be afraid, fall into me, let me hold ya
We weren't made to hold back the rain  from the sky
Who ever told you that boys don't cry, boys don't cry?

Hate it when you shut me out
Actin' like it's your shit to figure out
Don't wanna be touched, don't wanna discuss
I get it, I just, uh
Now I'm in my head about what's in your head
Come back to bed, can we talk about it?
It's not stupid, it's not drama
It's just trauma turned to armor
Keepin' you from me, no performing
If you love me, come and touch me, yeah

When I'm afraid of the world, when every part of me hurts
You don't know how many times you've saved me
So why you hidin' from me? It's only makin' it worse
I just wanna be close, my baby

Give me your pain, I'll take the weight off your shoulders
Don't be afraid, fall into me, let me hold ya
We weren't made to hold back the rain  from the sky
Yeah, who ever told you that boys don't cry, boys don't cry?
Yeah-yeah-yeah-yeah
Boys don't cry, boys don't cry
Yeah-yeah-yeah-yeah
Boys don't cry, boys don't cry

Come, my baby, lay your head on me
Lay your head on me, lay your head on me
Come, my baby, lay your head on me
Lay your head on me, lay your head on me (You know I got ya)
Come, my baby, lay your head on me (And you know I'd do anything for ya)
Lay your head on me, lay your head on me
Come, my baby, lay your head on me
Lay your head on me, lay your head on me

Give me your pain, I'll take the weight off your shoulders
Don't be afraid, fall into me, let me hold ya
We weren't made to hold back the rain from the sky
Who ever told you that boys don't cry, boys don't cry?

Ooh-oh
Boys don't cry, boys don't cry3Embed",
Snow Patrol,Greatest Hits,Just Say Yes,Alternative,,/songs/07 Snow Patrol - Just Say Yes.mp3,/image/cover-104.jpg,"Just Say Yes LyricsVerse 1:
I'm running out of ways to make you see
I want you to stay here beside me
I won't be okay and I won't pretend I am
So just tell me today and take my hand
Please take my hand
Please take my hand
Please take my hand
Please take my hand
Chorus:
Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love
Verse 2:
It's so simple and you know it is
You know it is
We can't be to and fro like this
All our lives
You're the only way to me
The path is clear
What do I have to say to you?
For God's sake, dear
For God's sake, dear
For God's sake, dear
For God's sake, dear
For God's sake, dear
Chorus:
Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love
Bridge:
I can feel your heart beat through my shirt
This was all I wanted, all I want
It's all I want
It's all I want
It's all I want
It's all I want
Chorus:
Just say yes
Just say there's nothing holding you back
It's not a test, nor a trick of the mind
Only love
Chorus/Outro:
Just say yes
Cause I'm aching, I know you are too
For the touch of your warm skin
As I breathe you in3Embed",
Snoop Dogg,BODR,Doggystylin,,PMEDIA,/songs/07. Doggystylin.mp3,/image/cover-105.jpg,"Doggystylin Lyrics
Dre let a Dogg out, killed 'em with 187 (Seven)
Nigga kept it gangsta, Doggy the one they checkin' (Checkin')
Bangin' in the party soon as a nigga step in (Step in)
All blue hoodie coverin' up my weapon (Weapon)
All blue Chucks, blue bandana hangin' (Hangin')
Eastside Long Beach, 20 Crip gangin' (Sup, cuh?)
Tell them niggas as I put the weed to the flame (Yeah)
Nigga droppin' Doggystyle, 'bout to change the game
Capture gang life in my music (Music)
Bust a freestyle and niggas lose it (Lose it)
Funky worm, funky bassline
Get your bang on and party at the same time (Say what?)
I'm 'bout to show 'em how I put it down (Yeah)
You niggas never heard this raw sound (Yeah)
Killers on my team, I got all hounds (All hounds)
Spittin' rounds with the motherfuckin' Dogg Pound (Motherfuckin' Dogg Pound)
Put in work, stood my ground (Yes, uh-huh)
Murder case? Beat the trial (Say what?)
I tell all the homies, ""Turn around"" (Turn around)
While I fuck this world doggy style (Ooh-wee)
Doggy on that Eastside shit (Eastside)
C-walkin', throwin' up Crip (Crip)
Keep it gangsta everywhere I go
Doggystylin', everybody know (Yes, sir)
I got the pedal to the floor, nigga (Uh, uh)
Sta-Sof in the 'fro, nigga (Uh, uh)
Representin' Death Row, nigga
Doggystylin', everybody know

I got my mind on my money and my 9 on me
Don't try it, homie, last nigga tried, nigga died on me
Slide homie the MAC for niggas tryna ride on me
Five shots to the back of your hat (Homicide on me)
Doggy all about the money, platinum hits, classic shit
You have to admit this nigga don't quit
Grab the clicky, it's lookin' iffy, all my Eastsiders ridin' with me
Real niggas keep it a buck fifty
A hundred fifty deep on the ground
Ghetto bird spotlight makin' rounds
Chillin' with a thick bitch, she like, ""Daddy, how?""
Turn around, bitch, you know I like it doggy style

Doggy on that Eastside shit (Eastside)
C-walkin', throwin' up Crip (Crip)
Keep it gangsta everywhere I go
Doggystylin', everybody know (Yes, sir, yes, sir)
I got the pedal to the floor, nigga (Haha, uh, uh)
Sta-Sof in the 'fro, nigga (Haha, uh, uh)
Representin' Death Row, nigga
Doggystylin', everybody knowEmbed",
Camila Cabello,Romance,Easy,Pop,Freak37,/songs/07. Easy.mp3,/image/cover-106.jpg,"Easy Lyrics
Ha-ha-ha-ha-ha

You tell me that I'm complicated
And that might be an understatement
Anything else? (Ha-ha-ha-ha-ha)
You tell me that I'm indecisive
Fickle, but I try to hide it
Anything else? (Ha-ha-ha-ha-ha)
You tell me that I overthink
'Til I ruin a good thing
Anything else? (Ha-ha-ha-ha-ha)
You tell me that you'd rather fight
Than spend a single peaceful night
With somebody else (Ha-ha-ha-ha)
You really, really know me
The future and the old me
All of the mazes and the madness in my mind
You really, really love me
You know me and you love me
And it's the kind of thing I always hoped I'd find, yeah

Always thought I was hard to love
'Til you made it seem so easy, seem so easy
Always thought I was hard to love
'Til you made it seem so easy, seem so easy
Touch me 'til I find myself in a feeling
Tell me with your hands that you're never leaving (No)
Always thought I was hard to love
'Til you made it seem so easy (Seem so easy)

I never liked my crooked teeth
You tell me they're your favorite thing (Mm-hmm)
Anything else? (Ha-ha-ha-ha-ha)
The stretch marks all around my thighs
Kiss 'em 'til I change my mind
About everything else (Ha-ha-ha-ha)
You really, really know me
The future and the old me
All of the mazes and the madness in my mind
You really, really love me
You know me and you love me (Ah)
And it's the kind of thing I always hoped I'd find

Always thought I was hard to love
'Til you made it seem so easy, seem so easy (So easy, yeah)
Always thought I was hard to love
'Til you made it seem so easy, seem so easy (So easy, yeah)
Touch me 'til I find myself in a feeling (Oh)
Tell me with your hands that you're never leaving (Oh, never)
Always thought I was hard to love (To love, yeah)
'Til you made it seem so easy, seem so easy (Oh)

All I know is you
Heal me when I'm broken
Heal me when I'm broken, oh
All I know is you
Saved me and you know it
Saved me and you know it (Saved me and you know it, ah)
Always thought I was hard to love
'Til you made it seem so easy, seem so easy (Ah)
I always thought I was hard to love
'Til you made it seem so easy, seem so easy ('Til you made it, 'til you made it, oh)
Touch me 'til I find myself in a feeling
Tell me with your hands that you're never leaving (Tell me with your hands that you're)
Always thought I was hard to love
'Til you made it seem so easy, seem so easy63Embed",
John Mayer,Essentials,Gravity,Pop,www.t.me/pmedia_music,/songs/07. Gravity.mp3,/image/cover-107.jpg,"Gravity Lyrics
Gravity is working against me
And gravity wants to bring me down

Oh, I'll never know
What makes this man, with all the love that his heart can stand
Dream of ways to throw it all away

Woah, woah
Gravity is working against me
And gravity wants to bring me down

Oh, twice as much ain't twice as good
And can't sustain like one half could
It's wanting more that's gonna send me to my knees

Oh, twice as much ain't twice as good
And can't sustain like one half could
It's wanting more that's gonna send me to my knees

Woah, woah
Gravity, stay the hell away from me
Woah, woah
Gravity has taken better men than me
Now, how can that be?

Just keep me where the light is
Just keep me where the light is
Just keep me where the light is
Come on, keep me where the light is
Come on, keep me where the light is
Come on, keep me where, now, keep me where the light is58Embed",
Ed Sheeran,=,Leave Your Life,,PMEDIA,/songs/07. Leave Your Life.mp3,/image/cover-108.jpg,"Leave Your Life Lyrics
If I forget to say goodbye
Before I catch the plane
Would you know the way that I
Feel when I'm away?
We'll see the same sky tonight
But the stars are out of place
You'll never know the weight of my heart
Every time I leave you, babe

It's hard to break the landing
But I'll see you again

I'm never gonna leave your life
Even at the times I'm miles away, you are always on my mind
Forever and now, I will be by your side
I know it can change from day to day, but this love'll keep alight
I'm never gonna leave your life
I, I'm never gonna leave your life
Oh, I could never tell you, ""LY""
Or put in words your finest traits
The darkest green and hazel eyes
And yet I can't describe the shade
You are all this heart of mine
And there you will remain
You'll never know the weight of my
Decisions when I leave your smiling face

It's hard to understand it
But I'll see you again

Oh, I, I'm never gonna leave your life
Even at the times I'm miles away, you are always on my mind
Forever and now, I will be by your side
I know it can change from day to day, but this love'll keep alight
I'm never gonna leave your life
I, I'm never gonna leave your life

It's hard to break the landing
But I'll see you again
I'm never gonna leave your life
Even at the times I'm miles away, you are always on my mind
Forever and now, I will be by your side
I know it can change from day to day, but this love'll keep alight
I'm never gonna leave your life
I, I'm never gonna leave your life

If I forget to say goodbye
Before I catch the plane
Would you know the way that I
Feel when I'm away?3Embed",
Oasis,Oasis - Greatest Hits CD2,Oasis  The Hindu Times,,,/songs/07. Oasis  The Hindu Times.mp3,,"The Hindu Times Lyrics
I get up
When I'm down
I can't swim
But my soul won't drown
I do believe
I got flair
I got speed
And I walk on air

'Cause God gimme soul in your rock and roll, babe
'Cause God gimme soul in your rock and roll, babe
And I get so high I just can't feel it
And I get so high I just can't feel it
In and out my brain
Running through my vein
You're my sunshine
You're my rain
There's a light
That shines on
Shines on me
And it keeps me warm
It gimme peace
I must say
I can't sleep
'Cause the world won't wait

'Cause God gimme soul in your rock and roll, babe
'Cause God gimme soul in your rock and roll, babe
And I get so high I just can't feel it
And I get so high I just can't feel it
In and out my brain
Running through my vein
You're my sunshine
You're my rain

And I get so high I just can't feel it
And I get so high I just can't feel it
And I get so high I just can't feel it
And I get so high I just can't feel it
In and out my brain
Running through my vein
You're my sunshine
You're my rain2Embed",
Oasis,Oasis - Greatest Hits CD1,Roll With It,,,/songs/07. Roll With It.mp3,,"Roll With It Lyrics
You gotta roll with it
You gotta take your time
You gotta say what you say
Don't let anybody get in your way
'Cause it's all too much for me to take
Don't ever stand aside
Don't ever be denied
You wanna be who you'd be
If you're coming with me
I think I've got a feeling I've lost inside
I think I'm gonna take me away and hide
I'm thinking of things that I just can't abide

I know the roads down which your life will drive (Life will drive)
I'll find the key that lets you slip inside (Slip inside)
Kiss the girl, she's not behind the door (Behind the door)
But you know I think I recognize your face
But I've never seen you before
You've gotta roll with it
You've gotta take your time
You gotta say what you say
Don't let anybody get in your way
'Cause it's all too much for me to take


I know the roads down which your life will drive (Life will drive)
I'll find the key that lets you slip inside (Slip inside)
Kiss the girl, she's not behind the door (Behind the door)
But you know I think I recognize your face
But I've never seen you before

You gotta roll with it
You gotta take your time
You gotta say what you say
Don't let anybody get in your way
'Cause it's all too much for me to take
Don't ever stand aside
Don't ever be denied
You wanna be who you'd be
If you're coming with me
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)
I think I've got a feeling I've lost inside (Take me away)9Embed",
Harry Styles,Fine Line,To Be So Lonely,Pop,www.t.me/pmedia_music,/songs/07. To Be So Lonely.mp3,/image/cover-111.jpg,"To Be So Lonely Lyrics
Don't blame me for falling
I was just a little boy
Don’t blame the drunk caller
Wasn't ready for it all

You can't blame me, darling
Not even a little bit, I was away
And I’m just an arrogant son of a bitch
Who can't admit when he's sorry

Don't call me ""baby"" again, you got your reasons
I know that you're tryna be friends, I know you mean it
Don't call me ""baby"" again, it's hard for me to go home
Be so lonely
I just hope you see me in a little better light
Do you think it's easy being of the jealous kind?
’Cause I miss the shape of your lips
You’ll win, it's just a trick
And this is it, so I’m sorry

Don't call me ""baby"" again, you got your reasons
I know that you're tryna be friends, I know you mean it
Don't call me ""baby"" again, it’s hard for me to go home
Be so lonely

To be so lonely, to be so
To be so lonely
To be so lonely, to be so
To be so lonely

And I'm just an arrogant son of a bitch
Who can't admit when he's sorry

Don't call me ""baby"" again, you got your reasons
I know that you're tryna be friends, I know you mean it
Don't call me ""baby"" again, it's hard for me to go home
Be so lonely
To be so lonely, to be so
To be so lonely
To be so lonely, to be so
To be so lonely42Embed",
Imagine Dragons,Origins (Deluxe),Zero,Alternative,Freak37,/songs/07. Zero.mp3,/image/cover-112.jpg,"Zero Lyrics
I find it hard to say the things I want to say the most
Find a little bit of steady as I get close
Find a balance in the middle of the chaos
Send me low, send me high, send me never demigod
I remember walking in the cold of November
Hoping that I make it to the end of December
27 years and the end on my mind
But holding to the thought of another time

But looking to the ways of the ones before me
Looking for the path of the young and lonely
I don't wanna hear about what to do
I don’t wanna do it just to do it for you
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I’m empty and there's nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out

I find it hard to tell you how I wanna run away
I understand it always makes you feel a certain way
I find a balance in the middle of the chaos
Send me up, send me down, send me ’nother demigod
I remember walking in the heat of the summer
Wide-eyed one with a mind full of wonder
27 years and I’ve nothing to show
Falling from the dove to the dark of the crow

Looking to the ways of the ones before me
Looking for the path of the young and lonely
I don't wanna hear about what to do, no
I don’t wanna do it just to do it for you
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I'm empty and there’s nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out

Let me tell you 'bout it, well let me tell you 'bout it
Maybe you're the same as me
Let me tell you 'bout it, well let me tell you 'bout it
They say the truth will set you free

Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to always feel, feel
Like I'm empty and there's nothing really real, real
I'm looking for a way out
Hello, hello
Let me tell you what it's like to be a zero, zero
Let me show you what it's like to never feel, feel
Like I'm good enough for anything that's real, real
I'm looking for a way out30Embed",
Nirvana,Greatest Hits,Lithium,Grunge,,/songs/07.Lithium.mp3,/image/cover-113.jpg,"Lithium Lyrics
I'm so happy, 'cause today I found my friends, they're in my head
I'm so ugly, that's okay, 'cause so are you, broke our mirrors
Sunday mornin' is every day for all I care, and I'm not scared
Light my candles in a daze, 'cause I've found God

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah

I'm so lonely, that's okay, I shaved my head, and I'm not sad
And just maybe I'm to blame for all I've hurt, but I'm not sure
I'm so excited, I can't wait to meet you there, and I don't care
I'm so horny, that's okay, my will is good
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I'm so happy, 'cause today I found my friends, they're in my head
I'm so ugly, that's okay, 'cause so are you, broke our mirrors
Sunday mornin' is every day for all I care, and I'm not scared
Light my candles in a daze, 'cause I've found God

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack151Embed",
One Direction,Take Me Home,Change My Mind,Pop,,/songs/08 - Change My Mind.mp3,/image/cover-114.jpg,"Change My Mind Lyrics
The end of the night, we should say goodbye
But we carry on while everyone’s gone

Never felt like this before
Are we friends or are we more?
As I'm walking towards the door
I'm not sure

But baby if you say you want me to stay, I’ll change my mind
'Cause I don't wanna know I'm walking away, if you'll be mine
Won't go, won't go, so baby if you say you want me to stay
Stay for the night, I'll change my mind
Lean in when you laugh, we take photographs
There's no music on but we dance along

Never felt like this before
Are we friends or are we more?
As I'm walking towards the door
I'm not sure

But baby if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walking away, if you'll be mine
Won't go, won't go, so baby if you say you want me to stay
Stay for the night, I'll change my mind, I'll change my mind

Baby if you say you want me to stay
I'll change my mind

But baby if you say you want me to stay, I'll change my mind
'Cause I don't wanna know I'm walking away, if you'll be mine
Won't go, won't go, so baby if you say you want me to stay
Stay for the night, I'll change my mind, I'll change my mind20Embed",
Coldplay,Greatest Songs,In My Place,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/08 - In My Place.mp3,/image/cover-115.jpg,"In My Place Lyrics
In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
And I was lost, I was lost
Crossed lines I shouldn't have crossed
I was lost, oh yeah

Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
For it

I was scared, I was scared
Tired and underprepared
But I'll wait for it
And if you go, if you go
And leave me down here on my own
Then I'll wait for you, yeah
Yeah, how long must you wait for it?
Yeah, how long must you pay for it?
Yeah, how long must you wait for it?
Oh, for it

Sing it please, please, please
Come back, come sing to me, to me, me
Come on and sing it out, now, now
Come on and sing it out to me, me
Come back and sing

In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
Oh, yeah29Embed",
Ed Sheeran,÷,New Man,,Freak37,/songs/08 - New Man.mp3,/image/cover-116.jpg,"New Man Lyrics
Nah nah nah nah nah

I heard he spent five hundred pounds on jeans
Goes to the gym at least six times a week
Wears boat shoes with no socks on his feet
And I hear he's on a new diet and watches what he eats
He's got his eyebrows plucked and his arsehole bleached
Owns every single Ministry CD
Tribal tattoos and he don't know what it means
But I heard he makes you happy, so that's fine by me
But still, I'm just keepin' it real
Still lookin' at your Instagram and I'll be creepin' a lil'
I'll be tryin' not to double tap, from way back
'Cause I know that's where the trouble's at
Let me remind you of the days when
You used to hold my hand
And when we sipped champagne out of cider cans
I guess if you were Lois Lane, I wasn't Superman
Just a young boy tryin' to be loved
So let me give it to ya
I don't wanna know about your new man
'Cause if it was meant to be
You wouldn't be callin' me up tryin' to
'Cause I'm positive that he don't wanna know about me
I don't wanna know about your new man
We'll get there eventually
I know you're missin' all this kind of love
But I'm positive that he don't wanna know about me

Your new man rents a house in the 'burb
And wears a man bag on his shoulder, but I call it a purse
Every year, he goes to Málaga with all the fellas
Drinks beer, but has a six pack, I'm kinda jealous
He wears sunglasses indoors, in winter, at nighttime
And every time a rap song comes on, he makes a gang sign
Says ""Chune, bwoydem light up the room!""
But enough about him, girl, let's talk about you
You were the type of girl who sat beside the water readin'
Eatin' a packet of crisps, but you will never find you cheatin'
Now you're eatin' kale, hittin' the gym
Keepin' up with Kylie and Kim
In the back of the club, kissin' a boy that ain't him
Okay, you need to be alone
And if you wanna talk about it, you can call my phone
I just thought I would tell you, 'cause you oughta know
You're still a young girl tryin' to be loved
So let me give it to ya
I don't wanna know about your new man
'Cause if it was meant to be
You wouldn't be callin' me up tryin' to
'Cause I'm positive that he don't wanna know about me
I don't wanna know about your new man
We'll get there eventually
I know you're missin' all this kind of love
But I'm positive that he don't wanna know about me

Baby, I'm not tryin' to ruin your week
But you act so differently
When you're with him, I know you're lonely
Please remember you're still free
To make the choice and leave
Don't call me up, you need to show me

I don't wanna know about your new man
'Cause if it was meant to be
You wouldn't be callin' me up tryin' to
'Cause I'm positive that he don't wanna know about me
I don't wanna know about your new man
We'll get there eventually
I know you're missin' all this kind of love
But I'm positive that he don't wanna know about me
But I'm positive that he don't wanna know about
But I'm positive that he don't wanna know about
I don't wanna know about your new man14Embed",
Dua Lipa,Dua Lipa,No Goodbyes,Indie Pop / Pop,Hunter,/songs/08 - No Goodbyes.mp3,/image/cover-117.jpg,"No Goodbyes Lyrics
Maybe one day, I can see you
We can smile and wave, and it'll be okay
Maybe one day, it'll be cool
We could just be friends without the complications that it brings
When we start saying things
Yeah, I hurt you, and you hurt me
Yeah, we did some things that we can never take back
And we tried hard just to fix it
But we broke it more
And so, I guess some things are not meant to last
Is it too much to ask?

For tonight
Let's love like there's no goodbyes (No goodbyes)
Just for tonight
Pretend that it's all alright (All alright)
Why don't we hold each other, use each other, whisper pretty lies?
Just for tonight
Let's love like there's no goodbyes (No goodbyes)
No goodbyes
No goodbyes
No goodbyes, eh

In a dark room
We don't have to see the light of truth between me and you
We can stay blind in the meantime
Let our bodies say what we can never seem to communicate
Even though it's too late

For tonight
Let's love like there's no goodbyes (No goodbyes)
Just for tonight
Pretend that it's all alright (All alright)
Why don't we hold each other, use each other, whisper pretty lies?
Just for tonight
Let's love like there's no goodbyes (No goodbyes)

No goodbyes
No goodbyes
No goodbyes, eh
No goodbyes (no goodbyes)
No goodbyes (no goodbyes)
No goodbyes, eh
Maybe one day, I'll see you
Just smile and wave and be okay

For tonight
Let's love like there's no goodbyes
For tonight
Pretend that it's all alright (All alright)
Why don't we hold each other, use each other, whisper pretty lies?
Just for tonight
Let's love like there's no goodbyes (No goodbyes)

No goodbyes
No goodbyes
No goodbyes, eh
No goodbyes
No goodbyes
No goodbyes, eh19Embed",
Frank Sinatra,Platinum Selection,South Of The Border,"Vocal Jazz, Pop",Freak37,/songs/08 - South Of The Border.mp3,/image/cover-118.jpg,"South Of The Border LyricsSouth of the border, down Mexico way
That's where I fell in love when the stars above came out to play
And now as I wander, my thoughts ever stray
South of the border, down Mexico way
She was a picture in old Spanish lace
Just for a tender while, I kissed the smile apon her face
'Cause it was fiesta and we were so gay
South of the border, Mexico way
Then she sighed as she whispered ""mañana""
Never dreaming that we were parting
And I lied as a whispered ""mañana""
'Cause our tomorrow never came
South of the border, I jumped back one day
There in a veil of white by the candlelight, she knelt to pray
The mission bells told me that I mustn't stay
South of the border, Mexico way
The mission bells told me, ding-dong, that I must not stay
Stay south of the border, down Mexico way
Aye, aye, aye, aye (aye, aye, aye, aye)
Aye, aye, aye, aye (aye, aye, aye, aye)
Aye, aye, aye, aye (aye, aye, aye, aye)
Aye, aye, aye, aye (aye, aye, aye, aye)Embed",
